trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.1, 'e': 0.27075425951199406}",20,14,9.275700157497024,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.2680467169168741}",35,15,36.46524705823197,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.1, 'e': 0.26536624974770534}",20,6,17.47422261058604,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.1, 'e': 0.2627125872502283}",20,0,6.379165978363284,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.1, 'e': 0.26008546137772603}",20,0,-128.5456477313291,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
136,False,"{'a': 0.1, 'e': 0.25748460676394874}",25,12,8.140024179651133,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.1, 'e': 0.2549097606963093}",20,7,7.823495269143066,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.1, 'e': 0.2523606630893462}",25,15,9.052736507574563,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.1, 'e': 0.2498370564584527}",25,7,-10.68707987601569,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.1, 'e': 0.24733868589386818}",25,10,-3.776732584164341,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.24486529903492948}",25,16,19.96348609888239,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.1, 'e': 0.2424166460445802}",25,2,-6.442372245879245,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
143,False,"{'a': 0.1, 'e': 0.2399924795841344}",25,17,2.4990095021108694,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.1, 'e': 0.23759255478829303}",30,9,1.8837489393454099,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.23521662924041012}",25,13,6.05321659616359,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.1, 'e': 0.232864462948006}",30,2,-32.55379335669461,"{0: 24, 1: 2, 2: 0, 3: 1, 4: 1}",1
147,False,"{'a': 0.1, 'e': 0.23053581831852593}",30,3,-70.92328767433388,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 2}",1
148,False,"{'a': 0.1, 'e': 0.22823046013534068}",25,14,19.583058492106076,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.1, 'e': 0.22594815553398728}",20,5,-12.793743960213753,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.1, 'e': 0.2236886739786474}",20,5,24.826448137173323,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.1, 'e': 0.22145178723886091}",25,11,-0.7025669160027856,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.1, 'e': 0.2192372693664723}",20,0,29.755484438886754,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.1, 'e': 0.21704489667280757}",25,7,17.95467820607717,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.1, 'e': 0.2148744477060795}",20,0,-19.19944121011942,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
155,False,"{'a': 0.1, 'e': 0.2127257032290187}",25,13,-42.484522876138165,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
156,False,"{'a': 0.1, 'e': 0.21059844619672852}",25,19,3.325694979702641,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.20849246173476124}",30,17,-22.700921719659362,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1
158,False,"{'a': 0.1, 'e': 0.2064075371174136}",25,0,30.510948856275984,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.1, 'e': 0.20434346174623946}",25,11,10.924119693326514,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.1, 'e': 0.2023000271287771}",25,15,4.431468549292292,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.1, 'e': 0.20027702685748933}",25,5,18.224550466325336,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
162,False,"{'a': 0.1, 'e': 0.19827425658891443}",20,0,21.168321832958956,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.19629151402302528}",20,8,16.885287210196104,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.19432859888279502}",25,14,19.6008940655708,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.19238531289396707}",30,10,-11.46654832718712,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
166,False,"{'a': 0.1, 'e': 0.1904614597650274}",25,0,22.697890140314115,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.1, 'e': 0.1885568451673771}",25,13,10.424885930728298,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.18667127671570335}",25,13,-36.259827629196295,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
169,False,"{'a': 0.1, 'e': 0.1848045639485463}",25,5,35.1658609924885,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.18295651830906084}",20,9,8.199698671737039,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.18112695312597024}",25,16,3.3083109787801352,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.17931568359471053}",20,16,5.477654718124703,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.17752252675876343}",20,0,-3.8825110908934364,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
174,False,"{'a': 0.1, 'e': 0.1757473014911758}",25,2,-0.788122225404094,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.17398982847626404}",20,14,-1.0849218693982845,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.1722499301915014}",20,16,7.196773050931984,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.17052743088958636}",25,9,26.492358305079456,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.1688221565806905}",20,11,9.622483260398155,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.1, 'e': 0.1671339350148836}",25,17,6.836867600706975,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.16546259566473476}",30,12,-14.736913569001299,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
181,False,"{'a': 0.1, 'e': 0.16380796970808742}",20,14,10.03096492798306,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.1, 'e': 0.16216989001100654}",20,7,24.108160325432703,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.1, 'e': 0.16054819111089647}",20,13,13.111740704627223,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
